"Date Printed: Friday, April 21, 2023 1:27:55 AM"
Title: "AIDS prevalence | Chlamydia | Early Non-Primary, Non-Secondary Syphilis | Gonorrhea | HIV prevalence | Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Gonorrhea","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","14,389","348.9","4,123,974"
"Gonorrhea","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","14,465","350.8","4,123,974"
"Gonorrhea","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","12,686","308.9","4,107,120"
"Gonorrhea","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","11,909","290.9","4,093,322"
"Gonorrhea","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","7,212","176.7","4,081,636"
"Gonorrhea","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","7,186","176.6","4,069,920"
"Gonorrhea","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","7,664","188.8","4,058,522"
"Gonorrhea","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","8,358","206.8","4,041,484"
"Gonorrhea","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","9,249","230.1","4,019,352"
"Gonorrhea","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","9,107","227.8","3,997,721"
"Gonorrhea","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","7,897","198.4","3,980,618"
"Gonorrhea","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","7,471","191.6","3,898,688"
"Gonorrhea","2008","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","9,686","250.2","3,870,979"
"Chlamydia","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Both sexes","27,003","654.8","4,123,974"
