"Date Printed: Friday, April 28, 2023 4:44:20 PM"
Title: "AIDS prevalence | Chlamydia | Early Non-Primary, Non-Secondary Syphilis | Gonorrhea | HIV prevalence | Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | 13-24 | 25-34 | 35-44 | 45-54 | 55+"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Gonorrhea","2020 (COVID-19 Pandemic)","Alabama","01","55+","All races/ethnicities","Both sexes","267","17.7","1,507,504"
"Gonorrhea","2020 (COVID-19 Pandemic)","Alabama","01","45-54","All races/ethnicities","Both sexes","462","74.9","616,616"
"Gonorrhea","2020 (COVID-19 Pandemic)","Alabama","01","35-44","All races/ethnicities","Both sexes","1,475","248.6","593,306"
"Gonorrhea","2020 (COVID-19 Pandemic)","Alabama","01","25-34","All races/ethnicities","Both sexes","4,538","701.1","647,229"
"Gonorrhea","2020 (COVID-19 Pandemic)","Alabama","01","13-24","All races/ethnicities","Both sexes","7,647","1007.1","759,319"
"Gonorrhea","2019","Alabama","01","55+","All races/ethnicities","Both sexes","244","16.2","1,507,504"
"Gonorrhea","2019","Alabama","01","45-54","All races/ethnicities","Both sexes","488","79.1","616,616"
"Gonorrhea","2019","Alabama","01","35-44","All races/ethnicities","Both sexes","1,466","247.1","593,306"
"Gonorrhea","2019","Alabama","01","25-34","All races/ethnicities","Both sexes","4,559","704.4","647,229"
"Gonorrhea","2019","Alabama","01","13-24","All races/ethnicities","Both sexes","7,708","1015.1","759,319"
"Gonorrhea","2018","Alabama","01","55+","All races/ethnicities","Both sexes","191","12.9","1,481,277"
"Gonorrhea","2018","Alabama","01","45-54","All races/ethnicities","Both sexes","400","63.8","627,025"
"Gonorrhea","2018","Alabama","01","35-44","All races/ethnicities","Both sexes","1,205","203.7","591,652"
"Gonorrhea","2018","Alabama","01","25-34","All races/ethnicities","Both sexes","3,847","597.8","643,504"
"Gonorrhea","2018","Alabama","01","13-24","All races/ethnicities","Both sexes","7,043","922.3","763,662"
"Gonorrhea","2017","Alabama","01","55+","All races/ethnicities","Both sexes","192","13.2","1,455,409"
"Gonorrhea","2017","Alabama","01","45-54","All races/ethnicities","Both sexes","412","64.8","636,225"
"Gonorrhea","2017","Alabama","01","35-44","All races/ethnicities","Both sexes","1,129","190.9","591,492"
"Gonorrhea","2017","Alabama","01","25-34","All races/ethnicities","Both sexes","3,475","542.6","640,470"
"Gonorrhea","2017","Alabama","01","13-24","All races/ethnicities","Both sexes","6,701","870.6","769,726"
"Gonorrhea","2016","Alabama","01","55+","All races/ethnicities","Both sexes","94","6.6","1,428,504"
"Gonorrhea","2016","Alabama","01","45-54","All races/ethnicities","Both sexes","178","27.7","643,720"
"Gonorrhea","2016","Alabama","01","35-44","All races/ethnicities","Both sexes","566","95.3","594,025"
"Gonorrhea","2016","Alabama","01","25-34","All races/ethnicities","Both sexes","2,090","328.5","636,209"
"Gonorrhea","2016","Alabama","01","13-24","All races/ethnicities","Both sexes","4,284","549.8","779,178"
"Gonorrhea","2015","Alabama","01","55+","All races/ethnicities","Both sexes","79","5.6","1,399,424"
"Gonorrhea","2015","Alabama","01","45-54","All races/ethnicities","Both sexes","177","27.3","648,946"
"Gonorrhea","2015","Alabama","01","35-44","All races/ethnicities","Both sexes","468","78.0","600,290"
"Gonorrhea","2015","Alabama","01","25-34","All races/ethnicities","Both sexes","2,069","328.6","629,604"
"Gonorrhea","2015","Alabama","01","13-24","All races/ethnicities","Both sexes","4,393","554.9","791,656"
"Gonorrhea","2014","Alabama","01","55+","All races/ethnicities","Both sexes","68","5.0","1,370,520"
"Gonorrhea","2014","Alabama","01","45-54","All races/ethnicities","Both sexes","205","31.2","656,349"
"Gonorrhea","2014","Alabama","01","35-44","All races/ethnicities","Both sexes","515","85.2","604,188"
"Gonorrhea","2014","Alabama","01","25-34","All races/ethnicities","Both sexes","2,169","347.3","624,446"
"Gonorrhea","2014","Alabama","01","13-24","All races/ethnicities","Both sexes","4,707","586.2","803,019"
"Gonorrhea","2013","Alabama","01","55+","All races/ethnicities","Both sexes","82","6.1","1,341,675"
"Gonorrhea","2013","Alabama","01","45-54","All races/ethnicities","Both sexes","208","31.3","664,911"
"Gonorrhea","2013","Alabama","01","35-44","All races/ethnicities","Both sexes","503","82.8","607,251"
"Gonorrhea","2013","Alabama","01","25-34","All races/ethnicities","Both sexes","2,030","327.6","619,699"
"Gonorrhea","2013","Alabama","01","13-24","All races/ethnicities","Both sexes","5,535","685.1","807,948"
"Gonorrhea","2012","Alabama","01","55+","All races/ethnicities","Both sexes","74","5.6","1,313,277"
"Gonorrhea","2012","Alabama","01","45-54","All races/ethnicities","Both sexes","214","31.7","674,984"
"Gonorrhea","2012","Alabama","01","35-44","All races/ethnicities","Both sexes","532","87.4","608,762"
"Gonorrhea","2012","Alabama","01","25-34","All races/ethnicities","Both sexes","2,113","342.7","616,539"
"Gonorrhea","2012","Alabama","01","13-24","All races/ethnicities","Both sexes","6,316","783.8","805,790"
"Gonorrhea","2011","Alabama","01","55+","All races/ethnicities","Both sexes","56","4.4","1,282,241"
"Gonorrhea","2011","Alabama","01","45-54","All races/ethnicities","Both sexes","192","28.0","686,179"
"Gonorrhea","2011","Alabama","01","35-44","All races/ethnicities","Both sexes","421","68.9","610,855"
"Gonorrhea","2011","Alabama","01","25-34","All races/ethnicities","Both sexes","2,082","338.9","614,322"
"Gonorrhea","2011","Alabama","01","13-24","All races/ethnicities","Both sexes","6,356","790.4","804,124"
"Gonorrhea","2010","Alabama","01","55+","All races/ethnicities","Both sexes","59","4.7","1,253,184"
"Gonorrhea","2010","Alabama","01","45-54","All races/ethnicities","Both sexes","152","21.9","693,346"
"Gonorrhea","2010","Alabama","01","35-44","All races/ethnicities","Both sexes","417","67.5","618,181"
"Gonorrhea","2010","Alabama","01","25-34","All races/ethnicities","Both sexes","1,742","285.3","610,538"
"Gonorrhea","2010","Alabama","01","13-24","All races/ethnicities","Both sexes","5,527","686.3","805,369"
"Gonorrhea","2009","Alabama","01","55+","All races/ethnicities","Both sexes","68","5.6","1,204,312"
"Gonorrhea","2009","Alabama","01","45-54","All races/ethnicities","Both sexes","170","25.3","673,172"
"Gonorrhea","2009","Alabama","01","35-44","All races/ethnicities","Both sexes","437","71.0","615,178"
"Gonorrhea","2009","Alabama","01","25-34","All races/ethnicities","Both sexes","1,672","272.1","614,429"
