"Date Printed: Friday, April 28, 2023 7:31:59 AM"
Title: "AIDS prevalence | Chlamydia | Early Non-Primary, Non-Secondary Syphilis | Gonorrhea | HIV prevalence | Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Male | Ages 13 years and older"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
NA - Not Applicable.



Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Gonorrhea","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","6,741","313.3","2,151,303"
"Gonorrhea","2020 (COVID-19 Pandemic)","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","7,612","385.9","1,972,671"
"Gonorrhea","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","6,864","319.1","2,151,303"
"Gonorrhea","2019","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","7,573","383.9","1,972,671"
"Gonorrhea","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","6,105","285.1","2,141,262"
"Gonorrhea","2018","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","6,548","333.1","1,965,858"
"Gonorrhea","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","5,674","266.1","2,132,438"
"Gonorrhea","2017","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","6,201","316.2","1,960,884"
"Gonorrhea","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","3,517","165.6","2,124,376"
"Gonorrhea","2016","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","3,646","186.3","1,957,260"
"Gonorrhea","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","3,622","171.1","2,117,001"
"Gonorrhea","2015","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","3,517","180.1","1,952,919"
"Gonorrhea","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","4,085","193.6","2,110,556"
"Gonorrhea","2014","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","3,556","182.5","1,947,966"
"Gonorrhea","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","4,660","221.8","2,100,983"
"Gonorrhea","2013","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","3,670","189.1","1,940,501"
"Gonorrhea","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","5,173","247.6","2,089,662"
"Gonorrhea","2012","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","4,027","208.7","1,929,690"
"Gonorrhea","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","5,085","244.7","2,078,096"
"Gonorrhea","2011","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","3,820","199.0","1,919,625"
"Gonorrhea","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","4,410","213.2","2,068,059"
"Gonorrhea","2010","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","3,416","178.6","1,912,559"
"Gonorrhea","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Female","4,226","208.1","2,030,633"
"Gonorrhea","2009","Alabama","01","Ages 13 years and older","All races/ethnicities","Male","3,237","173.3","1,868,055"
