Indicator,Year,State,Age,Race,Sex,Cases,Rate per 100000,Population,total_STD,STD_per_100000
Gonorrhea,2020,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,14389.0,348.9,4123974.0,42399.0,1028.1102645167016
Gonorrhea,2019,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,14465.0,350.8,4123974.0,46787.0,1134.512487227126
Gonorrhea,2018,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,12686.0,308.9,4107120.0,41927.0,1020.8369855275716
Gonorrhea,2017,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,11909.0,290.9,4093322.0,42595.0,1040.597343673427
Gonorrhea,2016,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,7212.0,176.7,4081636.0,31167.0,763.5908738554834
Gonorrhea,2015,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,7186.0,176.6,4069920.0,33968.0,834.6109997248103
Gonorrhea,2014,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,7664.0,188.8,4058522.0,36925.0,909.8139667593277
Gonorrhea,2013,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,8358.0,206.8,4041484.0,38104.0,942.8219931094618
Gonorrhea,2012,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,9249.0,230.1,4019352.0,40251.0,1001.4300812668312
Gonorrhea,2011,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,9107.0,227.8,3997721.0,39130.0,978.8076756732149
Gonorrhea,2010,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,7897.0,198.4,3980618.0,35371.0,888.5806173815222
Gonorrhea,2009,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,7471.0,191.6,3898688.0,34112.0,874.9610125252393
Gonorrhea,2008,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,9686.0,250.2,3870979.0,35203.0,909.4081884711853
Chlamydia,2020,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,27003.0,654.8,4123974.0,42399.0,1028.1102645167016
Chlamydia,2019,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,31164.0,755.7,4123974.0,46787.0,1134.512487227126
Chlamydia,2018,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,28318.0,689.5,4107120.0,41927.0,1020.8369855275716
Chlamydia,2017,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,29844.0,729.1,4093322.0,42595.0,1040.597343673427
Chlamydia,2016,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,23345.0,572.0,4081636.0,31167.0,763.5908738554834
Chlamydia,2015,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,26325.0,646.8,4069920.0,33968.0,834.6109997248103
Chlamydia,2014,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,28956.0,713.5,4058522.0,36925.0,909.8139667593277
Chlamydia,2013,Alabama,Ages 13 years and older,All races/ethnicities,Both sexes,29361.0,726.5,4041484.0,38104.0,942.8219931094618
