,Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
0,Gonorrhea,2020,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,14389,348.9,4123974
1,Gonorrhea,2019,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,14465,350.8,4123974
2,Gonorrhea,2018,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,12686,308.9,4107120
3,Gonorrhea,2017,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,11909,290.9,4093322
4,Gonorrhea,2016,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,7212,176.7,4081636
5,Gonorrhea,2015,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,7186,176.6,4069920
6,Gonorrhea,2014,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,7664,188.8,4058522
7,Gonorrhea,2013,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,8358,206.8,4041484
8,Gonorrhea,2012,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,9249,230.1,4019352
9,Gonorrhea,2011,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,9107,227.8,3997721
10,Gonorrhea,2010,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,7897,198.4,3980618
11,Gonorrhea,2009,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,7471,191.6,3898688
12,Gonorrhea,2008,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,9686,250.2,3870979
13,Chlamydia,2020,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,27003,654.8,4123974
14,Chlamydia,2019,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,31164,755.7,4123974
15,Chlamydia,2018,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,28318,689.5,4107120
16,Chlamydia,2017,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,29844,729.1,4093322
17,Chlamydia,2016,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,23345,572,4081636
18,Chlamydia,2015,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,26325,646.8,4069920
19,Chlamydia,2014,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,28956,713.5,4058522
20,Chlamydia,2013,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,29361,726.5,4041484
21,Chlamydia,2012,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,30549,760,4019352
22,Chlamydia,2011,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,29527,738.6,3997721
23,Chlamydia,2010,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,26937,676.7,3980618
24,Chlamydia,2009,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,25807,661.9,3898688
25,Chlamydia,2008,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,24630,636.3,3870979
26,"Early Non-Primary, Non-Secondary Syphilis",2020,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,478,11.6,4123974
27,"Early Non-Primary, Non-Secondary Syphilis",2019,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,540,13.1,4123974
28,"Early Non-Primary, Non-Secondary Syphilis",2018,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,447,10.9,4107120
29,"Early Non-Primary, Non-Secondary Syphilis",2017,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,422,10.3,4093322
30,"Early Non-Primary, Non-Secondary Syphilis",2016,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,267,6.5,4081636
31,"Early Non-Primary, Non-Secondary Syphilis",2015,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,177,4.3,4069920
32,"Early Non-Primary, Non-Secondary Syphilis",2014,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,144,3.5,4058522
33,"Early Non-Primary, Non-Secondary Syphilis",2013,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,202,5,4041484
34,"Early Non-Primary, Non-Secondary Syphilis",2012,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,237,5.9,4019352
35,"Early Non-Primary, Non-Secondary Syphilis",2011,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,268,6.7,3997721
36,"Early Non-Primary, Non-Secondary Syphilis",2010,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,277,7,3980618
37,"Early Non-Primary, Non-Secondary Syphilis",2009,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,418,10.7,3898688
38,"Early Non-Primary, Non-Secondary Syphilis",2008,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,439,11.3,3870979
39,Primary and Secondary Syphilis,2020,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,529,12.8,4123974
40,Primary and Secondary Syphilis,2019,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,618,15,4123974
41,Primary and Secondary Syphilis,2018,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,476,11.6,4107120
42,Primary and Secondary Syphilis,2017,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,420,10.3,4093322
43,Primary and Secondary Syphilis,2016,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,343,8.4,4081636
44,Primary and Secondary Syphilis,2015,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,280,6.9,4069920
45,Primary and Secondary Syphilis,2014,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,161,4,4058522
46,Primary and Secondary Syphilis,2013,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,183,4.5,4041484
47,Primary and Secondary Syphilis,2012,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,216,5.4,4019352
48,Primary and Secondary Syphilis,2011,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,228,5.7,3997721
49,Primary and Secondary Syphilis,2010,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,260,6.5,3980618
50,Primary and Secondary Syphilis,2009,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,416,10.7,3898688
51,Primary and Secondary Syphilis,2008,Alabama,1,Ages 13 years and older,All races/ethnicities,Both sexes,448,11.6,3870979
52,AIDS prevalence,2020,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,6162,148.7,4145188
53,AIDS prevalence,2019,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,6038,146.3,4128511
54,AIDS prevalence,2018,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,5892,143.3,4110461
55,AIDS prevalence,2017,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,5730,139.9,4096426
56,AIDS prevalence,2016,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,5541,135.7,4084113
57,AIDS prevalence,2015,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,5419,133.1,4071935
58,AIDS prevalence,2014,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,5390,132.8,4060083
59,AIDS prevalence,2013,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,5225,129.2,4042695
60,AIDS prevalence,2012,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,5045,125.5,4020179
61,AIDS prevalence,2011,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,4842,121.1,3998191
62,AIDS prevalence,2010,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,4436,111.4,3980691
63,AIDS prevalence,2009,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,4104,105.3,3898688
64,AIDS prevalence,2008,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,4020,103.8,3870996
65,HIV prevalence,2020,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,14158,341.6,4145188
66,HIV prevalence,2019,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,13849,335.4,4128511
67,HIV prevalence,2018,Alabama^,1,Ages 13 years and older,All races/ethnicities,Both sexes,13448,327.2,4110461
